CO_MUN_GEO;NO_MUN;NO_MUN_MIN;SG_UF
3431506;MONTE AZUL PAULISTA;Monte Azul Paulista;SP
3431605;MONTE CASTELO;Monte Castelo;SP
3431704;MONTEIRO LOBATO;Monteiro Lobato;SP
3431803;MONTE MOR;Monte Mor;SP
3431902;MORRO AGUDO;Morro Agudo;SP
3432009;MORUNGABA;Morungaba;SP
3432058;MOTUCA;Motuca;SP
3432108;MURUTINGA DO SUL;Murutinga do Sul;SP
3432157;NANTES;Nantes;SP
3432207;NARANDIBA;Narandiba;SP
3432306;NATIVIDADE DA SERRA;Natividade da Serra;SP
3432405;NAZARE PAULISTA;Nazar� Paulista;SP
3432504;NEVES PAULISTA;Neves Paulista;SP
3432603;NHANDEARA;Nhandeara;SP
3432702;NIPOA;Nipo�;SP
3432801;NOVA ALIANCA;Nova Alian�a;SP
3432827;NOVA CAMPINA;Nova Campina;SP
3432843;NOVA CANAA PAULISTA;Nova Cana� Paulista;SP
3432868;NOVA CASTILHO;Nova Castilho;SP
3432900;NOVA EUROPA;Nova Europa;SP
3433007;NOVA GRANADA;Nova Granada;SP
3433106;NOVA GUATAPORANGA;Nova Guataporanga;SP
3433205;NOVA INDEPENDENCIA;Nova Independ�ncia;SP
3433254;NOVAIS;Novais;SP
3433304;NOVA LUZITANIA;Nova Luzit�nia;SP
3433403;NOVA ODESSA;Nova Odessa;SP
3433502;NOVO HORIZONTE;Novo Horizonte;SP
3433601;NUPORANGA;Nuporanga;SP
3433700;OCAUCU;Ocau�u;SP
3433809;OLEO;�leo;SP
3433908;OLIMPIA;Ol�mpia;SP
3434005;ONDA VERDE;Onda Verde;SP
3434104;ORIENTE;Oriente;SP
3434203;ORINDIUVA;Orindi�va;SP
3434302;ORLANDIA;Orl�ndia;SP
3434401;OSASCO;Osasco;SP
3434500;OSCAR BRESSANE;Oscar Bressane;SP
3434609;OSVALDO CRUZ;Osvaldo Cruz;SP
3434708;OURINHOS;Ourinhos;SP
3434757;OUROESTE;Ouroeste;SP
3434807;OURO VERDE;Ouro Verde;SP
3434906;PACAEMBU;Pacaembu;SP
3435002;PALESTINA;Palestina;SP
3435101;PALMARES PAULISTA;Palmares Paulista;SP
3435200;PALMEIRA D'OESTE;Palmeira d'Oeste;SP
3435309;PALMITAL;Palmital;SP
3435408;PANORAMA;Panorama;SP
3435507;PARAGUACU PAULISTA;Paragua�u Paulista;SP
3435606;PARAIBUNA;Paraibuna;SP
3435705;PARAISO;Para�so;SP
3435804;PARANAPANEMA;Paranapanema;SP
3435903;PARANAPUA;Paranapu�;SP
3436000;PARAPUA;Parapu�;SP
3436109;PARDINHO;Pardinho;SP
3436208;PARIQUERA-ACU;Pariquera-A�u;SP
3436257;PARISI;Parisi;SP
3436307;PATROCINIO PAULISTA;Patroc�nio Paulista;SP
3436406;PAULICEIA;Paulic�ia;SP
3436505;PAULINIA;Paul�nia;SP
3436570;PAULISTANIA;Paulist�nia;SP
3436604;PAULO DE FARIA;Paulo de Faria;SP
3436703;PEDERNEIRAS;Pederneiras;SP
3436802;PEDRA BELA;Pedra Bela;SP
3436901;PEDRANOPOLIS;Pedran�polis;SP
3437008;PEDREGULHO;Pedregulho;SP
3437107;PEDREIRA;Pedreira;SP
3437156;PEDRINHAS PAULISTA;Pedrinhas Paulista;SP
3437206;PEDRO DE TOLEDO;Pedro de Toledo;SP
3437305;PENAPOLIS;Pen�polis;SP
